country,year,average,gini_index
AE,2009,141506.753713,0.6485995435493852
AE,1998,283359.50633299997,0.628820896238
BH,2015,8686.00993415,0.6001665626200939
BH,2005,11891.0736299,0.5906703335748191
BH,1995,12740.9947734,0.6089170127300001
BR,2015,37113.4815254,0.6411212417266291
BR,2014,39518.882833699994,0.636323014787364
BR,2013,42218.1025811,0.6388628496853471
BR,2012,40562.3134057,0.644376529181393
BR,2011,39976.691835000005,0.6510333946758471
BR,2010,38894.4990315,0.6443864787211229
BR,2009,37271.5465998,0.6451332968280801
BR,2008,38209.6631671,0.6530191368856079
BR,2007,37439.3511504,0.6463626696834711
BR,2006,35849.8668271,0.6494971342368199
BR,2005,35184.1757366,0.6473948188878071
BR,2004,34893.6807667,0.6479128540149262
BR,2003,33533.272948699996,0.653351469958829
BR,2002,33939.047702200005,0.653196461486777
BR,2001,33866.3817908,0.645269282364
CI,2014,911463.395061,0.5906055401550299
CI,2008,871787.865983,0.6016129067148311
CI,2002,952253.9994420001,0.6347970917229981
CI,1998,1083154.93967,0.582880686715864
CI,1993,1069159.5663100001,0.542669313899434
CI,1988,1567460.16717,0.6245482829740001
CN-RU,2015,23911.320455,0.5113414394107575
CN-RU,2014,22897.063170299996,0.5105088922141021
CN-RU,2013,21107.4082343,0.5113839336942196
CN-RU,2012,19857.9414381,0.5132750266505898
CN-RU,2011,18506.5786561,0.5165049453098285
CN-RU,2010,17067.726110699998,0.5104915968143008
CN-RU,2009,15554.533929899999,0.4963140115601537
CN-RU,2008,14881.826332100001,0.4903125733170816
CN-RU,2007,14155.6486726,0.4920894679811573
CN-RU,2006,12752.0015457,0.4830215936650365
CN-RU,2005,11656.787165700001,0.4886449867850663
CN-RU,2004,10922.6191105,0.4601443714863693
CN-RU,2003,10259.003541299999,0.4676998747229004
CN-RU,2002,9998.96300454,0.4664847928392499
CN-RU,2001,9930.57829381,0.4607715499788235
CN-RU,2000,9738.53249541,0.4531372477950624
CN-RU,1999,9975.22609756,0.43107395426633
CN-RU,1998,10139.4323277,0.42665138019014537
CN-RU,1997,10091.9307035,0.43148494507802493
CN-RU,1996,9951.46069147,0.42996330734583743
CN-RU,1995,9403.41190478,0.4274604118294865
CN-RU,1994,9137.10530932,0.42618799334170376
CN-RU,1993,8871.56073596,0.4201094236381675
CN-RU,1992,9271.22965785,0.4127597314087862
CN-RU,1991,8777.63372502,0.4042818801984748
CN-RU,1990,8442.29832976,0.3906867682155133
CN-RU,1989,8911.06077112,0.38703929925446795
CN-RU,1988,9813.40062514,0.3826852964730628
CN-RU,1987,9352.98427959,0.3773637842744111
CN-RU,1986,8998.50123467,0.37066680734088775
CN-RU,1985,9119.40108264,0.3619189359492615
CN-RU,1984,7802.86932751,0.3584222482004036
CN-RU,1983,6639.95883271,0.3542064374287284
CN-RU,1982,6039.53779428,0.34896442884752044
CN-RU,1981,5803.50288013,0.3421806666899065
CN-RU,1980,5540.92745996,0.332925860967513
CN-RU,1979,5360.3799893,0.3319457909673837
CN-RU,1978,5142.78291033,0.3306808146642173
CN-UR,2015,83704.2440456,0.4473929993382497
CN-UR,2014,80143.43623889999,0.4465690652048152
CN-UR,2013,74498.4875233,0.4562559082202042
CN-UR,2012,68950.2722012,0.4411741436300989
CN-UR,2011,64751.0973523,0.458752722438405
CN-UR,2010,61742.3610761,0.4568684388358885
CN-UR,2009,58013.48395750001,0.4515522886653325
CN-UR,2008,54268.904127400005,0.4559943431150266
CN-UR,2007,51039.056835100004,0.4520357930240387
CN-UR,2006,45656.9492752,0.44917523882416704
CN-UR,2005,41066.542944199995,0.4463574437497605
CN-UR,2004,37556.364448,0.43834809848391776
CN-UR,2003,34510.42652840001,0.4245196742819412
CN-UR,2002,31980.8788878,0.4126752901844365
CN-UR,2001,28930.4134389,0.3588522049537997
CN-UR,2000,27264.304954699997,0.3456428982494089
CN-UR,1999,26533.650954099998,0.3372113360807346
CN-UR,1998,25572.1359801,0.33161280964940804
CN-UR,1997,25033.9815039,0.3238555547367048
CN-UR,1996,24991.8244461,0.31506729432585656
CN-UR,1995,25520.865170700003,0.3074447598824287
CN-UR,1994,26209.1789032,0.31031890255711525
CN-UR,1993,24866.0124035,0.3021387256935034
CN-UR,1992,24023.9078047,0.2848078222248551
CN-UR,1991,21222.162721599998,0.2643294370658298
CN-UR,1990,18731.8407788,0.2709092817973866
CN-UR,1989,20559.5423223,0.2738298745805767
CN-UR,1988,21467.6008459,0.2670186675772642
CN-UR,1987,20467.1714729,0.25760540010654154
CN-UR,1986,19323.7588208,0.2711188521565349
CN-UR,1985,17176.8599512,0.2885725640239373
CN-UR,1984,14495.466584099999,0.26055898399383903
CN-UR,1983,12280.1824069,0.24625102990640926
CN-UR,1982,11969.0668691,0.2423932642121181
CN-UR,1981,11117.253431000001,0.24303923872101985
CN-UR,1980,10797.594480700001,0.24151243478975334
CN-UR,1979,10357.0830021,0.23997179745236666
CN-UR,1978,9979.19047497,0.23823832870259176
CN,2015,57455.0691161,0.5477478101538342
CN,2014,54251.1073862,0.5468970607889365
CN,2013,49794.2455612,0.5544095331244345
CN,2012,45665.8255283,0.5455567342116896
CN,2011,42216.270335,0.5571352456429675
CN,2010,39382.5535633,0.5593166132523719
CN,2009,36079.91401,0.5532775441382964
CN,2008,33389.620697900005,0.5525512129642024
CN,2007,31081.1681993,0.552143132087543
CN,2006,27343.047082099998,0.5489989997715172
CN,2005,24300.0359914,0.5478186781999269
CN,2004,22044.8744368,0.5354519770330806
CN,2003,20088.1601324,0.5325470950767845
CN,2002,18591.6470649,0.5241056685721881
CN,2001,17085.8665773,0.4963496187116288
CN,2000,16086.3235813,0.486685822303325
CN,1999,15734.1977304,0.4688744300781
CN,1998,15286.262556900001,0.4588250498719154
CN,1997,14859.9306032,0.4578595258034541
CN,1996,14535.7429859,0.4575648870403381
CN,1995,14083.980998700003,0.4640318366196921
CN,1994,14004.320154700003,0.4697740256439096
CN,1993,13348.419214700001,0.4635620538120844
CN,1992,13322.2937224,0.4478324492109728
CN,1991,12130.219617,0.4318614930036581
CN,1990,11159.734551799998,0.4144734263026105
CN,1989,11964.1579613,0.4176835553324162
CN,1988,12821.8939002,0.4077543727850033
CN,1987,12167.018714200001,0.40334037608021056
CN,1986,11530.7619313,0.39794510096645663
CN,1985,11029.5746964,0.3794995634243769
CN,1984,9343.12199675,0.3717321887628409
CN,1983,7859.57560731,0.36633391608653787
CN,1982,7292.47624715,0.3683266187026312
CN,1981,6874.56897833,0.36013163980982243
CN,1980,6560.25382373,0.3543886333990687
CN,1979,6307.80835341,0.3524729090654877
CN,1978,6009.23539123,0.35123645525210834
CZ,2015,399086.656076,0.335404423244575
CZ,2014,377301.347352,0.33501683586991937
CZ,2013,370644.531755,0.31932796210841496
CZ,2012,374243.579835,0.34067794770670196
CZ,2011,372776.072098,0.3315274523495273
CZ,2010,365771.867593,0.3321426986050978
CZ,2009,360838.11938499997,0.32889254556753955
CZ,2008,391976.777873,0.3389022967915992
CZ,2007,388743.724761,0.32489714915884016
CZ,2006,372723.26424299995,0.3277941168105306
CZ,2005,356708.010871,0.3238191811357409
CZ,2004,335078.034073,0.3275157664420606
CZ,2003,323204.76731100003,0.31257807671283033
CZ,2002,312218.250372,0.2990730294935443
CZ,2001,309541.41425100004,0.30002159346126
CZ,2000,302456.893966,0.3010222649984429
CZ,1999,293872.797127,0.3020508073683539
CZ,1998,295884.403707,0.30313193455006504
CZ,1997,300382.982004,0.304196305821973
CZ,1996,310593.703251,0.3053158365522337
CZ,1995,301444.823897,0.2950768771640291
CZ,1994,296340.958506,0.28505242628849314
CZ,1993,288186.97562,0.2751688228102963
CZ,1992,285364.122065,0.2655123680593151
DE,2016,40297.0,0.4451102318346768
DE,2015,39640.3007812,0.4485080721585333
DE,2014,39105.1015625,0.44634479079108136
DE,2013,38629.6992188,0.4497284070428108
DE,2012,38587.6992188,0.4423806119210831
DE,2011,38686.6015625,0.4447660732307862
DE,2010,37106.6015625,0.44364717755508265
DE,2009,35629.6015625,0.4399293401451291
DE,2008,37732.8007812,0.4510770004568572
DE,2007,37809.3984375,0.4463610494064341
DE,2006,36803.8984375,0.4324353166058557
DE,2005,35137.8007812,0.4301586054837351
DE,2004,34958.0,0.4046753157408192
DE,2003,33939.8984375,0.3946252933467208
DE,2002,34211.1015625,0.4001175668993613
DE,2001,34566.1015625,0.3946931778879379
DE,2000,34232.3984375,0.3948035614594798
DE,1999,33434.3984375,0.3899844372897957
DE,1998,32931.0,0.3876393197331793
DE,1997,32435.800781200003,0.3818427959132399
DE,1996,32004.900390599996,0.37450271098712695
DE,1995,31868.5,0.3644739437746392
DE,1994,31518.599609400004,0.364003920784571
DE,1993,31080.599609400004,0.3681182161175671
DE,1992,31905.0,0.3742587471384681
DE,1991,31670.900390599996,0.3790804852483601
DE,1990,33496.3984375,0.3807596285862823
DE,1989,32537.400390599996,0.3831507321800788
DE,1988,31827.5,0.3732240167933749
DE,1987,30824.5,0.36424858272355787
DE,1986,30784.800781200003,0.35361653225856404
DE,1985,30354.5,0.35152994092973805
DE,1984,29796.300781200003,0.3496279267897649
DE,1983,28981.0,0.3499677016058954
DE,1982,28578.599609400004,0.3510672153888201
DE,1981,29045.800781200003,0.3520689054933561
DE,1980,29444.5,0.35194179668968384
EG,2015,45416.1672445,0.5374125622477279
EG,2012,43565.1520807,0.5166096153202612
EG,2010,43612.4659252,0.5182168452991871
EG,2008,45179.0506196,0.541627680321226
EG,2004,38516.8742508,0.5465334040416789
EG,1999,37893.139693900004,0.561085014644
FR,2014,35777.812999999995,0.4592652157275523
FR,2013,35566.562999999995,0.4596700244379465
FR,2012,35466.406,0.4613508141575594
FR,2011,36058.992,0.4697947408620653
FR,2010,35475.777,0.47214125953911795
FR,2009,34820.051,0.4672300858888925
FR,2008,36570.406,0.4762716627380557
FR,2007,36995.984,0.4781272216821453
FR,2006,36443.426,0.4754829167299376
FR,2005,35868.117,0.4741163905253474
FR,2004,35552.898,0.47680516412477597
FR,2003,34812.82,0.4773285517717079
FR,2002,34820.551,0.4733569373412319
FR,2001,35162.059,0.4828763626129999
FR,2000,34927.852,0.4871918042520251
FR,1999,34022.281,0.4860968026154655
FR,1998,32836.828,0.4855038431192078
FR,1997,31778.926,0.4830287200752177
FR,1996,31041.827999999998,0.48395712893775894
FR,1995,30602.041,0.4801105145870277
FR,1994,30125.445,0.480821714794079
FR,1993,29702.311,0.4819357603578285
FR,1992,30211.635,0.4810696636558299
FR,1991,29961.91,0.4875809815990663
FR,1990,30165.145,0.4886413024053838
FR,1989,29670.08,0.4899017189302943
FR,1988,28778.686,0.4856411319691016
FR,1987,27738.577999999998,0.4958393987727238
FR,1986,27230.827999999998,0.5030934344408582
FR,1985,26636.584,0.5103512206743566
FR,1984,26287.436,0.5208655914720917
FR,1983,26182.055,0.5210770868246519
FR,1982,26281.09,0.5216448812733567
FR,1981,26054.697,0.5224346375689572
FR,1980,26148.645,0.5243693164288961
FR,1979,26113.676,0.5231343810164208
FR,1978,25428.182,0.5258195990252121
FR,1977,24686.792999999998,0.5315538931037647
FR,1976,24174.99,0.5351520905095855
FR,1975,23348.385,0.5398573425957931
FR,1974,23792.246,0.5523649423531772
FR,1973,23121.895,0.5575300228333422
FR,1972,22048.701,0.5624778995872566
FR,1971,21365.26,0.5678786741014433
FR,1970,20551.426,0.5752841209091284
IN,2013,139758.528611,0.6026393232060059
IN,2012,134295.20098,0.6025349069946739
IN,2011,131326.257777,0.596055915542745
IN,2010,124478.00176400002,0.578575529473063
IN,2009,116251.268522,0.5673078754005929
IN,2008,111871.695283,0.5562186057177392
IN,2007,108729.59570399999,0.5453265126597701
IN,2006,100868.621512,0.534648315411084
IN,2005,94205.5799136,0.5241982416886082
IN,2004,88560.7104875,0.5139540651170819
IN,2003,83411.0113786,0.503844731413969
IN,2002,79852.2176427,0.4938780565466749
IN,2001,78517.5274042,0.4840609769629422
IN,2000,77605.7327589,0.4743997740642667
IN,1999,75701.6887364,0.471504337369448
IN,1998,72479.1985786,0.4696935274291392
IN,1997,74352.56964500001,0.4657934477087249
IN,1996,72843.53606010001,0.45964904037970294
IN,1995,70725.95218239998,0.464754629981481
IN,1994,68023.70068689999,0.4630053099011318
IN,1993,65328.945151,0.4514454119850261
IN,1992,62006.8438352,0.4374614821855527
IN,1991,62299.693678400006,0.43040984199752585
IN,1990,63504.6706284,0.42621072051517983
IN,1989,61037.1937592,0.44174791660714063
IN,1988,57217.0128795,0.4418083750830711
IN,1987,54940.6422081,0.43435082025797206
IN,1986,54194.206384599995,0.439277095421638
IN,1985,54023.09775469999,0.4369047210596093
IN,1984,51681.3099661,0.42499602985045737
IN,1983,51173.050935,0.4404742993162349
IN,1982,51261.5695075,0.3965478734371728
IN,1981,50643.401815900004,0.4009029456734943
IN,1980,49917.463624300006,0.4063608203186141
IN,1979,48653.472332599995,0.4114902586747482
IN,1978,48407.0726016,0.4223589230247249
IN,1977,46482.4907882,0.42569272583772705
IN,1976,46261.000132,0.4269717678797231
IN,1975,40396.095689300004,0.42470892227046403
IN,1974,40000.705103199994,0.422940444100312
IN,1973,44766.4973942,0.4219711410268431
IN,1972,45174.179215599994,0.4224956573756122
IN,1971,44993.5057024,0.42499174650963056
IN,1970,45642.6903394,0.4428109094917501
IN,1969,44398.4963211,0.44140606288761775
IN,1968,42430.7686177,0.43108294879984105
IN,1967,42198.8538426,0.4385288554215157
IN,1966,39536.6050893,0.43775650217854606
IN,1965,39850.1350519,0.434882389614948
IN,1964,42416.084236,0.433499561332758
IN,1963,39913.4308688,0.4350455839969426
IN,1962,38563.04099180001,0.4496311840171259
IN,1961,38360.8273474,0.4562352511410669
IN,1960,37885.3162085,0.4526552916194563
IN,1959,35923.1601518,0.464030694603859
IN,1958,35825.4361005,0.4749228316896941
IN,1957,33786.8778684,0.4690778497477316
IN,1956,34808.474046300005,0.4827981830307162
IN,1955,33265.9532453,0.4886758664236828
IN,1954,33049.098199299995,0.4675777466871411
IN,1953,32216.0134499,0.4525891507989569
IN,1952,30656.3341116,0.4576951443991459
IN,1951,30128.6039796,0.4610648581717026
IQ,2007,5598165.27433,0.5913397882
IR,2013,184237681.36099997,0.5526711092025443
IR,2010,218541161.88,0.590129446248
JO,2013,5631.91462668,0.5444774121430119
JO,2010,5838.92371755,0.5696541138312479
JO,2008,6399.23549391,0.5357483121046207
JO,2006,6067.49272455,0.5416665018720049
JO,2002,5177.274375,0.5266386657933331
JO,1992,4498.84447246,0.5803115833520001
KR,2016,32982536.0,0.3443734708756001
KR,2015,32304968.0,0.34244706651799994
KR,2014,31827440.0,0.3377828214802
KR,2013,31432330.0,0.336209137391
KR,2012,31081460.0,0.3382573583812
KR,2011,30783720.0,0.3424777179569001
KR,2010,30157582.0,0.34120680149899985
KR,2009,28209204.0,0.3351563811005801
KR,2008,28710644.0,0.3392357370262801
KR,2007,28661158.0,0.33395260996472
KR,2006,27387746.0,0.32829320697919984
KR,2005,26266740.0,0.28015528899172004
KR,2004,25715198.0,0.2942468576082802
KR,2003,24804558.0,0.2917081890069001
KR,2002,24579070.0,0.2851391214899501
KR,2001,23057706.0,0.27490785699361986
KR,2000,22556998.0,0.26585539950581005
KR,1999,20948210.0,0.2569965175902801
KR,1998,18895036.0,0.2430814570003299
KR,1997,21103538.0,0.26267967200669984
KR,1996,20472754.0,0.2559706403851999
KR,1995,19486228.0,0.22467915099924
KR,1985,10258325.0,0.1989780304646399
KR,1984,9897342.0,0.20558459099862011
KR,1983,9228945.0,0.2091921586810399
KR,1982,8435294.0,0.20569712855148992
KR,1981,8078341.5,0.19950966000862014
KR,1980,7861819.0,0.19886380229481004
KR,1979,8468624.0,0.18726470783411
KR,1978,8170155.0,0.19430018198605992
KR,1977,7568410.5,0.16553741263664012
KR,1976,6987973.0,0.16225869997903994
KW,2013,14982.984681900001,0.623407777357011
KW,2007,21741.1817602,0.621797922806
LB,2014,16465825.2341,0.6621773447253241
LB,2013,16934250.3947,0.6649676953326091
LB,2012,18671753.5309,0.6665058128868651
LB,2011,19971710.1304,0.664138920607884
LB,2010,20216819.3995,0.6615769499400019
LB,2009,19876817.4295,0.658232027753577
LB,2008,19389729.9056,0.6626297675081458
LB,2007,18381601.643,0.6591754451788299
LB,2006,16717243.8909,0.6114175461190712
LB,2005,16856457.6788,0.6147981652519999
MY,2014,50454.6807753,0.4886557347846701
MY,2012,47590.134847,0.5199125390590971
MY,2009,40719.266770199996,0.5444641847728302
MY,2007,43299.4442804,0.5591575147374013
MY,2004,35318.5492986,0.5481383765584591
MY,2002,30784.555191500003,0.5459482393690119
OM,2010,7634.57508889,0.6545370686759999
PL,2015,50794.5,0.4114709071471552
PL,2014,48885.199,0.4153687565614656
PL,2013,47616.801,0.41493309952994817
PL,2012,47140.801,0.4158297639328608
PL,2011,46565.0,0.4170621653594604
PL,2010,44367.801,0.4139321490748271
PL,2009,43333.398,0.4179342113130078
PL,2008,43202.398,0.4263395430925812
PL,2007,40953.898,0.4288219665409094
PL,2006,38867.301,0.4277266450050172
PL,2005,37092.398,0.4290131675100432
PL,2004,35773.0,0.408649778547914
PL,2003,35449.801,0.4000013033018521
PL,2002,34904.398,0.3947523357233991
PL,2001,34739.699,0.3840865161446483
PL,2000,34803.602,0.38379500026849606
PL,1999,33605.699,0.36936962719006894
PL,1998,32458.801,0.3781778972434368
PL,1997,31371.9,0.370699492579474
PL,1996,29754.1,0.37529079187851744
PL,1995,28083.699,0.38229008236066575
PL,1994,26187.301,0.35553193046758513
PL,1993,24590.801,0.3283903405221682
PL,1992,23586.5,0.3169814290059828
PL,1989,28935.699,0.28299991634429805
PL,1988,28776.199,0.26273095143810143
PL,1987,27515.4,0.2810729444165704
PL,1986,27331.6,0.2809677011497021
PL,1985,26290.5,0.2772336819717023
PL,1984,25496.301,0.29084537982329706
PL,1983,24092.301,0.2780376000949981
PS,2011,24956.318099400003,0.5972575942137729
PS,2010,22819.2148012,0.6103238522480332
PS,2008,22423.7053318,0.592298939535946
PS,2007,21914.5044819,0.616056249958718
PS,2006,20732.354776,0.5898409903275559
PS,2005,21910.5493275,0.593360603211474
PS,2004,19519.316939400003,0.5781049054105432
PS,1998,30933.8289232,0.5768154873419141
PS,1997,26323.715404799997,0.5728215499222429
PS,1996,23659.034602300002,0.569844837026
QA,2012,254851.215558,0.6063437049251492
QA,2007,256103.97169099998,0.6211690006139999
RU,2015,643350.260535,0.545238349162226
RU,2014,673909.2806020001,0.5469198791207159
RU,2013,670470.803252,0.5604311020696477
RU,2012,673087.474626,0.5484780249800271
RU,2011,652897.963474,0.5664011451212124
RU,2010,607258.461555,0.5616826054158068
RU,2009,581951.5541569999,0.5878466177850538
RU,2008,643360.8969159999,0.6101200273233199
RU,2007,618812.705475,0.5976924168581549
RU,2006,567971.41499,0.5951689825124143
RU,2005,524608.5482579999,0.5833536810551535
RU,2004,494273.109808,0.5896301412772379
RU,2003,450127.330424,0.5965154228854691
RU,2002,426564.9842,0.5917241053035811
RU,2001,407388.643871,0.6045600896656238
RU,2000,382399.794098,0.595118930503884
RU,1999,340517.069979,0.5801599755523228
RU,1998,303062.883377,0.5653491943715827
RU,1997,325038.581001,0.5940234294944661
RU,1996,318877.91924899997,0.6371271496089829
RU,1995,287294.877331,0.567019414688254
RU,1994,339875.071727,0.5406057177919767
RU,1993,413322.652094,0.4624898604866343
RU,1992,464525.549913,0.4326031536572871
RU,1991,576167.776364,0.3190896114111701
RU,1990,549542.199491,0.3090204500613733
RU,1989,564736.38767,0.2961455066845702
RU,1988,561597.885848,0.28123276699501354
RU,1985,549964.397047,0.2828613405439252
RU,1980,527460.109893,0.27815171503985325
RU,1976,500264.14577700006,0.2894073897478977
RU,1972,439056.96452200005,0.2905421326937905
RU,1968,389758.892665,0.27804836590575843
RU,1966,349077.47113200004,0.3084393089143368
RU,1964,317951.021998,0.33508850948667346
RU,1961,279578.616157,0.35415705146065896
SA,2008,114736.168392,0.6090172275299999
SY,2004,1448308.69982,0.5816754074120001
TH,2016,229678.7,0.6143444205245939
TH,2015,223070.09,0.588004431552855
TH,2014,219037.91,0.6054590154194329
TH,2013,216769.5,0.6045593351556959
TH,2012,218556.0,0.6227387485694488
TH,2011,212195.7,0.6223715517754879
TH,2010,209089.8,0.6289384611263469
TH,2009,196640.0,0.6231284399665121
TH,2008,200693.3,0.631557875278262
TH,2007,202389.59,0.637002780102536
TH,2006,192834.41,0.6432026827542119
TH,2005,183968.0,0.644568907068666
TH,2004,180210.2,0.6449526310788278
TH,2003,171231.5,0.6647261682755841
TH,2002,161405.2,0.6493963640015551
TH,2001,152736.41,0.67474400406
TR,2016,34634.9925323,0.601326484593333
TR,2015,34293.839454500005,0.591756805349952
TR,2014,33889.6490851,0.5864721740478129
TR,2013,33620.1444789,0.569088776261742
TR,2012,33069.50423409999,0.578111847416759
TR,2011,33179.7350215,0.5801209299572727
TR,2010,30993.4071199,0.5770839192741881
TR,2009,28678.9496537,0.583147171039478
TR,2008,31327.4514116,0.5683952896754669
TR,2007,31856.761652700003,0.5618082621771421
TR,2006,30987.4162235,0.5684265582673789
TR,2005,29567.436421599996,0.5824411458136982
TR,2004,27648.175802099995,0.602465614244866
TR,2003,25594.2378252,0.613694675117251
TR,2002,24913.6660098,0.6209785768110732
TR,1994,23870.8229228,0.7110027386740001
US,2014,67454.5059401,0.5974275745550086
US,2013,66210.5268676,0.5915901095685407
US,2012,65976.0226685,0.5996890841752486
US,2011,64269.200448899996,0.5903155988792559
US,2010,63042.786235800006,0.5863055762071039
US,2009,61245.83605569999,0.573945337574292
US,2008,63818.896315900005,0.5773794141694353
US,2007,65104.480227,0.5792453216804245
US,2006,65750.7553345,0.5827170859135241
US,2005,64057.817951100005,0.5745751011659697
US,2004,62585.943654999995,0.5649554148867941
US,2003,60725.4950875,0.5565642607964718
US,2002,59797.038069500006,0.5527585878700296
US,2001,59815.01108990001,0.5521584873517384
US,2000,60048.232506500004,0.5609693024179211
US,1999,58154.4368214,0.5563617249836006
US,1998,56371.402773099995,0.5513645508474381
US,1997,54175.8818913,0.5498927202340822
US,1996,52156.8969135,0.5440792716215215
US,1995,50433.665838,0.5368167305400668
US,1994,49353.3068099,0.5285621414252198
US,1993,47763.7335091,0.5265656990918799
US,1992,47302.9619014,0.5282365201278933
US,1991,46248.058434800005,0.5144118668205799
US,1990,47075.8390506,0.5135392649228416
US,1989,46971.0615551,0.5118261897312018
US,1988,46300.3228281,0.5129986679647358
US,1987,44389.7057503,0.5028439992168388
US,1986,42979.1191265,0.4932206299330116
US,1985,42569.5552858,0.4914928990389176
US,1984,41699.4998409,0.4913367340144366
US,1983,38965.2181675,0.4813828559630827
US,1982,38165.4174705,0.4718751624854067
US,1981,39452.555400599995,0.4648427118325743
US,1980,39162.4495556,0.4583583698226082
US,1979,40382.0494146,0.4594138578040371
US,1978,40255.706983599994,0.45974020052746795
US,1977,38913.5758982,0.4592859883317589
US,1976,37794.748456400004,0.4542960916038198
US,1975,36475.630422300004,0.4564056351524416
US,1974,37807.4270371,0.4485574374651956
US,1973,39019.81648380001,0.4576160028378209
US,1972,37447.5685422,0.4586530595599018
US,1971,36120.281759699996,0.454554305301046
US,1970,35936.7832548,0.445479114493298
US,1969,36811.7976855,0.444656612604151
US,1968,36318.95372119999,0.4579364823658933
US,1967,35265.9495751,0.4539060643763202
US,1966,34765.4168903,0.4732529976703033
US,1965,33193.2807937,0.42348691807046135
US,1964,31533.8254954,0.4853401830067331
US,1963,30262.594526599998,0.4232055902496049
US,1962,29247.865759500004,0.4718138643870918
US,1961,27825.400680900002,0.27045842153779986
US,1960,27430.4140676,0.2684764843813265
US,1959,26897.0533713,0.274377337363075
US,1958,25349.570235799998,0.2691924393059433
US,1957,26033.3649372,0.27056010995367963
US,1956,26009.796313599996,0.2706275359353758
US,1955,25600.2831,0.2789752824138064
US,1954,23905.892600599997,0.2719510231301707
US,1953,24387.3634162,0.2677856744390008
US,1952,23643.793667200003,0.27899582421468194
US,1950,21598.732265000002,0.3055289111578916
US,1949,19845.357695299997,0.2984616350676653
US,1948,20545.181951900002,0.30483822114864145
US,1947,19666.1196485,0.2855076060644549
US,1946,20386.9340662,0.28631489871219484
US,1945,23239.4974621,0.2721536640871943
US,1944,24116.826476700004,0.27624506128956905
US,1943,23356.750344099997,0.29752838801926274
US,1942,20228.476851900003,0.3287444603907493
US,1941,17142.6645639,0.376814332230246
US,1940,14473.1196878,0.3959728380521379
US,1939,13362.334158399999,0.3964314701886248
US,1938,12498.4539234,0.38096811920398976
US,1937,13500.503229299999,0.3836580105573147
US,1936,12736.9482716,0.39628898922472106
US,1935,11536.236498,0.3880233252668791
US,1934,10481.1757544,0.3983418692504447
US,1933,9374.25124674,0.3842459849062002
US,1932,9683.77518142,0.38028350901029095
US,1931,11479.5978097,0.3642628023642972
US,1930,12885.4843744,0.37122974672838094
US,1929,14308.409051800001,0.3881177543445616
US,1928,13636.1337588,0.4009528731795836
US,1927,13490.2546134,0.3880425766545538
US,1926,13742.7166065,0.39578210984352136
US,1925,13129.6838839,0.3908057402259415
US,1924,12897.5694381,0.3699268983226642
US,1923,13064.266695999999,0.347741027144307
US,1922,11609.799690200001,0.3727340227492055
US,1921,10696.1377585,0.3830638108031208
US,1920,11861.1493768,0.3528936116456578
US,1919,12124.801695799999,0.3757770923046718
US,1918,12795.9865088,0.3553440759466412
US,1917,12094.671624600001,0.36876635157049453
US,1916,12287.9785199,0.3636928495180661
US,1915,10776.672111599999,0.3394467995782544
US,1914,10566.629636,0.3477267075212802
