country	year	gini_index
BR	2015	0.641121241726629
BR	2014	0.636323014787364
BR	2013	0.6388628496853471
BR	2012	0.644376529181393
BR	2011	0.651033394675847
BR	2010	0.644386478721123
BR	2009	0.6451332968280801
BR	2008	0.653019136885608
BR	2007	0.6463626696834711
BR	2006	0.6494971342368199
BR	2005	0.6473948188878071
BR	2004	0.6479128540149262
BR	2003	0.653351469958829
BR	2002	0.653196461486777
BR	2001	0.645269282364
CN	2015	0.5477478101538342
CN	2014	0.5468970607889365
CN	2013	0.5544095331244345
CN	2012	0.5455567342116896
CN	2011	0.5571352456429675
CN	2010	0.5593166132523719
CN	2009	0.5532775441382964
CN	2008	0.5525512129642024
CN	2007	0.552143132087543
CN	2006	0.5489989997715172
CN	2005	0.5478186781999269
CN	2004	0.5354519770330806
CN	2003	0.5325470950767845
CN	2002	0.5241056685721881
CN	2001	0.49634961871162875
CN	2000	0.486685822303325
IN	2013	0.6026393232060059
IN	2012	0.6025349069946739
IN	2011	0.596055915542745
IN	2010	0.578575529473063
IN	2009	0.5673078754005929
IN	2008	0.5562186057177392
IN	2007	0.54532651265977
IN	2006	0.534648315411084
IN	2005	0.5241982416886082
IN	2004	0.5139540651170819
IN	2003	0.503844731413969
IN	2002	0.49387805654667494
IN	2001	0.48406097696294215
IN	2000	0.4743997740642667
RU	2015	0.545238349162226
RU	2014	0.5469198791207159
RU	2013	0.5604311020696477
RU	2012	0.5484780249800271
RU	2011	0.5664011451212124
RU	2010	0.5616826054158068
RU	2009	0.5878466177850538
RU	2008	0.6101200273233199
RU	2007	0.5976924168581549
RU	2006	0.5951689825124143
RU	2005	0.5833536810551535
RU	2004	0.589630141277238
RU	2003	0.5965154228854691
RU	2002	0.5917241053035811
RU	2001	0.6045600896656238
RU	2000	0.595118930503884